,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1856,1.0,74.0,3.0,3.0,4.0,1.0,2771.0,1.0,0.0,0.0,2.0,2.0,3.85
1857,0.0,99.0,2.0,2.0,3.0,3.0,1263.0,0.0,0.0,1.0,1.0,0.0,1.15
1858,0.0,99.0,3.0,4.0,3.0,3.0,2027.0,0.0,0.0,1.0,2.0,2.0,1.84
1859,0.0,105.0,4.0,4.0,4.0,3.0,2513.0,1.0,1.0,0.0,2.0,0.0,1.9
1860,1.0,22.0,3.0,3.0,3.0,2.0,2250.0,0.0,0.0,1.0,0.0,1.0,3.4
1861,0.0,6.0,3.0,3.0,4.0,3.0,2222.0,1.0,0.0,0.0,1.0,2.0,1.98
1862,0.0,75.0,3.0,3.0,4.0,1.0,1556.0,0.0,1.0,0.0,1.0,1.0,1.95
1863,1.0,9.0,2.0,2.0,1.0,0.0,556.0,0.0,0.0,1.0,0.0,1.0,0.35
1864,0.0,105.0,4.0,4.0,4.0,3.0,3030.0,1.0,0.0,0.0,1.0,2.0,1.99
1865,0.0,83.0,2.0,2.0,4.0,1.0,1181.0,0.0,0.0,0.0,1.0,0.0,1.34
1866,0.0,109.0,2.0,2.0,2.0,3.0,716.0,0.0,0.0,1.0,1.0,2.0,0.38
1867,1.0,47.0,6.0,6.0,4.0,0.0,1836.0,1.0,0.0,1.0,0.0,2.0,3.9
1868,0.0,96.0,4.0,5.0,4.0,3.0,2111.0,1.0,0.0,2.0,2.0,2.0,2.95
1869,0.0,56.0,3.0,3.0,4.0,0.0,2364.0,1.0,0.0,2.0,1.0,2.0,5.15
1870,0.0,45.0,3.0,3.0,3.0,4.0,1630.0,0.0,0.0,1.0,1.0,2.0,1.0
1871,1.0,52.0,3.0,4.0,4.0,1.0,1935.0,1.0,0.0,0.0,1.0,2.0,1.95
1872,0.0,94.0,4.0,4.0,4.0,0.0,2529.0,1.0,0.0,1.0,1.0,0.0,3.45
1873,0.0,17.0,3.0,4.0,2.0,3.0,2087.0,1.0,0.0,0.0,2.0,2.0,2.65
1874,0.0,12.0,2.0,2.0,2.0,0.0,1363.0,0.0,0.0,1.0,1.0,0.0,0.7
1875,0.0,79.0,2.0,2.0,3.0,4.0,1128.0,0.0,0.0,1.0,1.0,2.0,0.92
1876,0.0,98.0,2.0,2.0,1.0,3.0,533.0,0.0,1.0,1.0,1.0,2.0,0.34
1877,0.0,75.0,4.0,4.0,4.0,3.0,1975.0,1.0,0.0,1.0,1.0,1.0,3.0
1878,0.0,36.0,2.0,2.0,3.0,2.0,1308.0,0.0,0.0,1.0,1.0,1.0,1.2
1879,0.0,89.0,3.0,4.0,3.0,3.0,1611.0,1.0,0.0,0.0,1.0,1.0,1.25
1880,1.0,92.0,4.0,6.0,1.0,3.0,558.0,0.0,0.0,1.0,0.0,2.0,1.6
1881,0.0,6.0,4.0,4.0,4.0,3.0,4630.0,0.0,0.0,0.0,1.0,0.0,4.55
1882,0.0,113.0,2.0,2.0,2.0,3.0,516.0,0.0,0.0,1.0,0.0,2.0,0.3
1883,1.0,66.0,9.0,9.0,4.0,1.0,2660.0,1.0,0.0,0.0,1.0,2.0,6.25
1884,0.0,8.0,4.0,5.0,4.0,3.0,7222.0,0.0,0.0,1.0,1.0,0.0,4.45
1885,0.0,113.0,2.0,2.0,2.0,1.0,605.0,0.0,0.0,1.0,1.0,2.0,0.3
1886,0.0,65.0,1.0,2.0,1.0,2.0,678.0,0.0,0.0,1.0,1.0,1.0,0.55
1887,0.0,82.0,4.0,5.0,4.0,0.0,2115.0,1.0,0.0,0.0,1.0,2.0,2.1
1888,0.0,82.0,4.0,5.0,4.0,0.0,2115.0,1.0,0.0,0.0,1.0,2.0,2.0
1889,0.0,95.0,2.0,2.0,2.0,3.0,1178.0,0.0,0.0,0.0,1.0,0.0,0.81
1890,1.0,53.0,6.0,6.0,4.0,0.0,3240.0,1.0,1.0,0.0,1.0,2.0,10.0
1891,0.0,107.0,4.0,4.0,2.0,1.0,1893.0,1.0,0.0,1.0,1.0,0.0,1.08
1892,0.0,83.0,4.0,3.0,3.0,1.0,2111.0,0.0,1.0,1.0,1.0,1.0,1.9
1893,0.0,94.0,3.0,4.0,4.0,3.0,1902.0,1.0,0.0,2.0,1.0,0.0,2.29
1894,0.0,111.0,2.0,2.0,2.0,1.0,583.0,0.0,0.0,1.0,1.0,2.0,0.31
1895,0.0,75.0,4.0,4.0,4.0,3.0,1975.0,1.0,0.0,0.0,2.0,2.0,2.9
1896,0.0,107.0,4.0,3.0,2.0,3.0,2167.0,0.0,0.0,1.0,0.0,1.0,1.0
1897,0.0,6.0,3.0,3.0,3.0,3.0,1533.0,0.0,0.0,1.0,1.0,1.0,1.76
1898,0.0,76.0,3.0,2.0,3.0,3.0,1700.0,1.0,0.0,0.0,2.0,2.0,2.4
1899,0.0,78.0,2.0,2.0,1.0,1.0,657.0,0.0,0.0,1.0,0.0,0.0,0.7
1900,0.0,8.0,2.0,2.0,2.0,3.0,1404.0,0.0,0.0,1.0,1.0,2.0,1.32
1901,0.0,99.0,2.0,2.0,3.0,3.0,1486.0,0.0,0.0,0.0,2.0,0.0,1.2
1902,0.0,6.0,3.0,3.0,3.0,3.0,1389.0,1.0,0.0,1.0,1.0,2.0,1.3
1903,0.0,57.0,3.0,3.0,3.0,3.0,2030.0,0.0,0.0,1.0,0.0,0.0,2.35
1904,0.0,106.0,2.0,2.0,2.0,3.0,1149.0,0.0,1.0,1.0,1.0,2.0,0.87
1905,0.0,82.0,3.0,5.0,3.0,3.0,1528.0,1.0,0.0,1.0,1.0,2.0,1.66
1906,0.0,67.0,3.0,4.0,1.0,0.0,2164.0,1.0,0.0,0.0,2.0,0.0,3.8
1907,0.0,29.0,3.0,3.0,3.0,3.0,1860.0,0.0,0.0,0.0,1.0,2.0,2.55
1908,1.0,22.0,5.0,5.0,1.0,3.0,2778.0,0.0,0.0,1.0,0.0,1.0,4.5
1909,0.0,61.0,4.0,4.0,3.0,0.0,2100.0,0.0,0.0,1.0,0.0,1.0,1.55
1910,0.0,99.0,3.0,4.0,3.0,3.0,1390.0,1.0,0.0,0.0,0.0,2.0,0.8
1911,0.0,107.0,4.0,5.0,4.0,3.0,2454.0,1.0,0.0,0.0,1.0,0.0,2.0
1912,0.0,75.0,3.0,3.0,3.0,3.0,1650.0,1.0,0.0,1.0,2.0,1.0,2.35
1913,0.0,80.0,3.0,3.0,1.0,3.0,1420.0,0.0,0.0,1.0,1.0,0.0,1.32
